SITE,LAT,LONG,PARASIT,PARASIT_YES,,
CZLU,48.852692,17.070593,14.6,Y,,
DEDG,51.233333,6.100000,14.5,Y,,
DEMH,49.663874,10.847465,8.3,Y,,
DK,55.971545,12.120345,8.1,Y,,
EE,58.384923,24.533106,0,N,,
ES,40.734138,0.79174,21.1,Y,,
FINE,60.33569,25.69772,0,N,,
FINM,60.14174,24.70126,0,N,,
FINW,60.41889,22.49918,0,N,,
FR,47.897121,-4.352747,0,N,,
IT,41.55914,15.87284,0,N,,
LT,55.34641,21.240511,0,N,,
MT,35.93749,14.37541,0,N,,
NO,59.73894,11.45908,0,N,,
PL,51.534002,17.314939,14.3,Y,,
ROLS,46.966139,23.899431,0,N,,
RODD,44.632193,28.872278,5.8,Y,,
SE,55.70043,13.47565,NA,NA,,
TR,39.76333,32.79434,0,N,,
CZOS,49.8435451,16.2846704,NA,NA,,
HR,43.05231,17.44803,0,N,,
SK,48.37091,17.58332,0,N,,
