,Selected,rejrate
1,CZ04_15,0.448
2,CZ04_16,0.448
3,CZ04_19,0.448
4,CZ04_21_c,0.448
5,CZ04_32,0.448
6,DE03_DG102010,0.333
7,DE03_DG102013,0.333
8,DE03_DG102014,0.333
9,DE03_DG102015,0.333
10,DE03_DG102017,0.333
11,DE03_DG102019,0.333
12,DE03_DG102021,0.333
13,DE03_DG102022,0.333
14,DE03_DG102023,0.333
15,DE03_DG102025,0.689
16,DE03_MH103001,0.689
17,DE03_MH103002,0.689
18,DE03_MH103012,0.689
19,DE03_MH103016,0.689
20,DE03_MH103017,0.689
21,DE03_MH103032,0.689
22,DE03_MH103033,0.689
23,DE03_MH103034,0.689
24,DE03_MH103035,0.689
25,DK04_110002,0.474
26,DK04_110003,0.474
27,DK04_110004,0.474
28,DK04_110017,0.474
29,DK04_110019,0.474
30,DK04_110022,0.474
31,DK04_110025,0.474
32,DK04_110026,0.474
33,DK04_110033,0.474
34,EE19_CB86701,?
35,EE19_CB86702,?
36,EE19_CB86703,?
37,EE19_CB86704,?
38,EE19_CB86705,?
39,EE19_CB86707,?
40,EE19_CB86708,?
41,EE19_CB86710,?
42,EE19_CB86711,?
43,EE19_CB86712,?
44,ES04_108002,0.273
45,ES04_108009,0.273
46,ES04_108010,0.273
47,ES04_108011,0.273
48,ES04_108013,0.273
49,ES04_108015,0.273
50,ES04_108016,0.273
51,ES04_108018,0.273
52,ES04_108019,0.273
53,FI18_HA70276,0.000
54,FI18_HA70277,0.000
55,FI18_HA70274,0.000
56,FI18_HA70275,0.000
57,FI18_HA70232,0.000
58,FI18_HA70233,0.000
59,FI18_HA70244,0.000
60,FI18_HA70245,0.000
61,FI18_HA70246,0.000
62,FI18_HA70234,0.000
63,FI18_596153H,0.000
64,FI18_HA70281,0.000
65,FI18_HA70241,0.000
66,FI18_HA70239,0.000
67,FI18_HA70240,0.000
68,FI18_HA70238,0.000
69,FI18_HA70215,0.000
70,FI18_HA70216,0.000
71,FI18_HA70221,0.000
72,FI18_HA70220_c,0.000
73,FI18_HA70228,0.000
74,FI18_HA70222,0.000
75,FI18_HA70223,0.000
76,FI18_HA70204,0.000
77,FI18_HA70201,0.000
78,FI18_HA70208,0.000
79,FR04_109006_c,0.333
80,FR04_109007,0.333
81,FR04_109010,0.333
82,FR04_109011,0.333
83,FR04_109014,0.333
84,FR04_109015,0.333
85,FR04_109016,0.333
86,FR04_109017,0.333
87,FR04_109018,0.333
88,HR05_13,?
89,HR05_15,?
90,HR05_22,?
91,HR05_25,?
92,HR05_29,?
93,HR05_39,?
94,HR05_46,?
95,HR05_47,?
96,IT17_10,?
97,IT17_13,?
98,IT17_14,?
99,IT17_18,?
100,IT17_2,?
101,IT17_21,?
102,IT17_3,?
103,IT17_6_c,?
104,IT17_7,?
105,IT17_8,?
106,LT03_107020,0.24
107,LT03_107021,0.24
108,LT03_107022,0.24
109,LT03_107025,0.24
110,LT03_107028,0.24
111,LT03_107029,0.24
112,LT03_107032,0.24
113,LT03_107037,0.24
114,LT03_107038,0.24
115,LT03_107040,0.24
116,MT14_230245,?
117,MT14_278765,?
118,MT14_286527,?
119,MT14_286586,?
120,MT14_286610,?
121,MT14_286622,?
122,MT14_286623,?
123,MT14_286624,?
124,NO02_101003,?
125,NO02_101005,?
126,NO02_101006,?
127,NO02_101007,?
128,NO02_101008,?
129,NO02_101009,?
130,NO02_101012,?
131,NO02_101013,?
132,NO02_101014,?
133,NO02_101015,?
134,PL03_105017,0.596
135,PL03_105021,0.596
136,PL03_105024,0.596
137,PL03_105025,0.596
138,PL03_105033,0.596
139,PL03_105034,0.596
140,PL03_105036,0.596
141,PL06_117001,0.596
142,PL06_117029,0.596
143,PL06_117031,0.596
144,PL06_117083,0.596
145,PL06_117087,0.596
146,RO03_TR104004,0.321
147,RO03_TR104007,0.321
148,RO03_TR104013,0.321
149,RO03_TR104016,0.321
150,RO03_TR104017,0.321
151,RO03_TR104036,0.321
152,RO03_TR104041,0.321
153,RO03_TR104042,0.321
154,RO04_DD111003,0.59
155,RO04_DD111004,0.59
156,RO04_DD111005,0.59
157,RO04_DD111006,0.59
158,RO04_DD111012,0.59
159,RO04_DD111014,0.59
160,RO04_DD111032,0.59
161,SK05_11,?
162,SK05_12,?
163,SK05_13,?
164,SK05_16,?
165,SK05_2,?
166,SK05_6,?
167,SK05_7,?
168,SK05_8,?
169,SK05_9,?
170,TR05_13_c,?
171,TR05_14,?
172,TR05_17,?
173,TR05_26,?
174,TR05_27,?
175,TR05_34,?
176,TR05_36,?
177,TR05_41,?
